,Year,Primary Enrollment,GDP
0,2001,12759918.0,78921234457.5487
1,2002,12826218.0,84307291973.8158
2,2003,12970635.0,87039145965.2826
3,2004,13017973.0,95002028504.6904
4,2005,13083744.0,107419961717.693
5,2006,13006648.0,127652859201.041
6,2007,13145210.0,155980378253.634
7,2008,13411286.0,181624577154.679
8,2009,13686643.0,175974711592.145
9,2010,,208368726861.407
10,2011,,234216930369.796
11,2012,,261920509950.555
12,2013,,283902728260.716
13,2014,14460377.0,297483247101.038
14,2015,14453060.0,306446140628.709
15,2016,14293635.0,318626761492.867
16,2017,14039867.0,328480867142.69
17,2018,13418841.0,346842094175.24
18,2019,13195088.0,376823278561.196
19,2020,13214472.0,361751116292.541
